onset	duration	sample	type	value
35.4724372866464	0	17737	Markers	event: experimentPt2Start
35.5344380509611	0	17768	Markers	event: anchorsPresented; scale: SAM-valence
36.5684507977584	0	18285	Markers	event: fixationCrossStart
37.0684569615868	0	18535	Markers	event: fixationCrossEnd
37.5864633473131	0	18794	Markers	event: presentedStimulus; stimulus:LTLB20
40.6225007740795	0	20312	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTLB20
44.8285526242046	0	22415	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: LTLB20; response: 2
44.8925534131746	0	22447	Markers	event: anchorsPresented; scale: Likert-Stress
45.9105659627293	0	22956	Markers	event: fixationCrossStart
46.4105721265578	0	23206	Markers	event: fixationCrossEnd
46.9285785122841	0	23465	Markers	event: presentedStimulus; stimulus:HTHB16
49.9466157171527	0	24974	Markers	event: scalePresented; scale: Likert-Stress; stimulus: HTHB16
54.1686677645202	0	27085	Markers	event: optionConfirmed; scale: Likert-Stress; stimulus: HTHB16; response: 2
54.2026681836606	0	27102	Markers	event: anchorsPresented; scale: Likert-Offenheit
55.21868070856	0	27610	Markers	event: fixationCrossStart
55.7186868723884	0	27860	Markers	event: fixationCrossEnd
56.2366932581147	0	28119	Markers	event: presentedStimulus; stimulus:HTLB21
59.2567304876386	0	29629	Markers	event: scalePresented; scale: Likert-Offenheit; stimulus: HTLB21
62.9427759273821	0	31472	Markers	event: optionConfirmed; scale: Likert-Offenheit; stimulus: HTLB21; response: 5
62.9767763465224	0	31489	Markers	event: anchorsPresented; scale: SAM-valence
63.9947888960771	0	31998	Markers	event: fixationCrossStart
64.4947950599056	0	32248	Markers	event: fixationCrossEnd
65.0128014456319	0	32507	Markers	event: presentedStimulus; stimulus:LTLB19
68.0328386751558	0	34017	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTLB19
69.550857388539	0	34776	Markers	event: optionConfirmed; scale: SAM-valence; stimulus: LTLB19; response: 3
69.582857783024	0	34792	Markers	event: anchorsPresented; scale: Likert-Faszination
70.6008703325788	0	35301	Markers	event: fixationCrossStart
71.1008764964072	0	35551	Markers	event: fixationCrossEnd
71.6188828821335	0	35810	Markers	event: presentedStimulus; stimulus:LTLB04
