onset	duration	sample	type	value
20.2362152474546	0	10119	Markers	event: experimentPt1Start
20.2562154601917	0	10129	Markers	event: baselineStart
200.256130073323	0	100128	Markers	event: baselineEnd
205.354184300024	0	102677	Markers	event: anchorsPresented; scale: Likert-Stress
206.372195128346	0	103186	Markers	event: fixationCrossStart
206.872200446775	0	103436	Markers	event: fixationCrossEnd
207.388205935393	0	103694	Markers	event: presentedStimulus; stimulus:HTHB15
210.426238250167	0	105213	Markers	event: scalePresented; scale: Likert-Stress; stimulus: HTHB15
222.872370636499	0	111436	Markers	event: optionConfirmed; scale: Likert-Stress; stimulus: HTHB15; response: 4
222.970371678911	0	111485	Markers	event: anchorsPresented; scale: Likert-Faszination
223.988382507233	0	111994	Markers	event: fixationCrossStart
224.488387825662	0	112244	Markers	event: fixationCrossEnd
225.006393335554	0	112503	Markers	event: presentedStimulus; stimulus:HTLB06
228.026425458865	0	114013	Markers	event: scalePresented; scale: Likert-Faszination; stimulus: HTLB06
233.298481536379	0	116649	Markers	event: optionConfirmed; scale: Likert-Faszination; stimulus: HTLB06; response: 1
233.330481876758	0	116665	Markers	event: anchorsPresented; scale: SAM-arousal
234.34849270508	0	117174	Markers	event: fixationCrossStart
234.848498023509	0	117424	Markers	event: fixationCrossEnd
235.366503533401	0	117683	Markers	event: presentedStimulus; stimulus:LTLB12
238.386535656711	0	119193	Markers	event: scalePresented; scale: SAM-arousal; stimulus: LTLB12
245.110607178943	0	122555	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: LTLB12; response: 7
245.142607519323	0	122571	Markers	event: anchorsPresented; scale: Likert-Stress
246.160618347644	0	123080	Markers	event: fixationCrossStart
246.660623666073	0	123330	Markers	event: fixationCrossEnd
247.178629175965	0	123589	Markers	event: presentedStimulus; stimulus:LTHB07
250.196661278002	0	125098	Markers	event: scalePresented; scale: Likert-Stress; stimulus: LTHB07
253.15069269928	0	126575	Markers	event: optionConfirmed; scale: Likert-Stress; stimulus: LTHB07; response: 4
253.184693060933	0	126592	Markers	event: anchorsPresented; scale: SAM-dominance
254.200703867981	0	127100	Markers	event: fixationCrossStart
254.702709207683	0	127351	Markers	event: fixationCrossEnd
255.218714696302	0	127609	Markers	event: presentedStimulus; stimulus:LTLB22
258.238746819613	0	129119	Markers	event: scalePresented; scale: SAM-dominance; stimulus: LTLB22
262.544792621922	0	131272	Markers	event: optionConfirmed; scale: SAM-dominance; stimulus: LTLB22; response: 3
262.576792962302	0	131288	Markers	event: anchorsPresented; scale: Likert-Stress
263.594803790623	0	131797	Markers	event: fixationCrossStart
264.094809109052	0	132047	Markers	event: fixationCrossEnd
264.610814597671	0	132305	Markers	event: presentedStimulus; stimulus:LTLB01
267.630846720981	0	133815	Markers	event: scalePresented; scale: Likert-Stress; stimulus: LTLB01
274.036914860692	0	137018	Markers	event: optionConfirmed; scale: Likert-Stress; stimulus: LTLB01; response: 3
274.054915052156	0	137027	Markers	event: anchorsPresented; scale: SAM-arousal
275.070925859203	0	137535	Markers	event: fixationCrossStart
275.572931198906	0	137786	Markers	event: fixationCrossEnd
276.088936687524	0	138044	Markers	event: presentedStimulus; stimulus:HTLB13
279.108968810835	0	139554	Markers	event: scalePresented; scale: SAM-arousal; stimulus: HTLB13
282.979009975475	0	141489	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: HTLB13; response: 3
282.997010166938	0	141498	Markers	event: anchorsPresented; scale: SAM-arousal
284.015020995259	0	142007	Markers	event: fixationCrossStart
284.515026313688	0	142257	Markers	event: fixationCrossEnd
285.031031802307	0	142515	Markers	event: presentedStimulus; stimulus:LTLB07
288.051063925618	0	144025	Markers	event: scalePresented; scale: SAM-arousal; stimulus: LTLB07
292.473110961803	0	146236	Markers	event: optionConfirmed; scale: SAM-arousal; stimulus: LTLB07; response: 7
292.489111131993	0	146244	Markers	event: anchorsPresented; scale: SAM-valence
293.507121960314	0	146753	Markers	event: fixationCrossStart
294.007127278743	0	147003	Markers	event: fixationCrossEnd
294.523132767361	0	147261	Markers	event: presentedStimulus; stimulus:LTHB16
297.545164911946	0	148772	Markers	event: scalePresented; scale: SAM-valence; stimulus: LTHB16
